,Biomass,TP,TemP,Time (min),PS,BET,PV,C,H,N,O,Qm (mg/g)
68,Processing waste,ibuprofen,950.0,0.1,1.32,322.0,0.12,58.52,1.22,1.52,5.83,30.6
69,Sludge (pharmaceutical),Tetracycline,600.0,60.0,3.82,214.97,0.32,35.43,1.42,2.21,6.03,102.83
70,Sludge (pharmaceutical),Tetracycline,600.0,60.0,3.82,319.8,0.54,73.35,2.57,2.57,0.67,157.69
71,Chinese herbal medicine residues (Plant),Tetracycline,500.0,120.0,7.97,31.74,0.06,36.42,2.34,1.76,55.01,92.61
72,bagasse (Pristine),Sulfamethoxazole,800.0,120.0,1.79,496.03,0.23,89.57,2.4,0.9,7.13,35.43
73,bagasse (300 mM FeCl3),Sulfamethoxazole,400.0,120.0,1.98,24.51,0.02,72.42,3.32,1.96,22.3,12.99
74,bagasse (300 mM FeCl3),Sulfamethoxazole,600.0,120.0,1.79,428.86,0.18,78.28,2.39,1.77,17.56,13.29
75,bagasse (300 mM FeCl3),Sulfamethoxazole,800.0,120.0,1.73,613.87,0.29,75.58,1.87,0.8,21.74,187.31
76,bagasse (100 mM FeCl3),Sulfamethoxazole,800.0,120.0,1.73,398.74,0.18,81.94,2.79,1.23,14.03,7.5
77,bagasse (200 mM FeCl3),Sulfamethoxazole,800.0,120.0,1.73,558.12,0.25,74.86,2.89,0.97,21.28,122.84
78,bagasse (500 mM FeCl3),Sulfamethoxazole,800.0,120.0,1.73,605.59,0.31,73.86,3.41,0.96,21.77,205.0
79,Straw biochar,Tetracycline,300.0,60.0,42.83,140.08,0.31,43.49,1.74,0.73,24.3,98.33
80,Straw biochar,Tetracycline,300.0,60.0,36.27,165.42,0.31,40.91,1.78,0.68,22.89,97.96
81,Straw biochar,Tetracycline,300.0,60.0,213.29,28.13,0.03,48.13,1.53,1.0,48.96,37.8
82,date stone biochar,ibuprofen,700.0,60.0,1.32,513.0,0.2,62.27,0.0,0.0,24.01,10.51
83,date stone biochar,ibuprofen,700.0,60.0,1.32,342.0,0.13,46.13,0.0,0.0,32.25,13.87
84,Wood chip biochar,ibuprofen,800.0,300.0,2.25,841.0,0.38,68.27,1.24,0.88,12.39,70.8
85,Wood chip biochar,ibuprofen,800.0,420.0,4.68,477.0,0.38,38.35,1.04,0.94,4.61,84.9
